kind,file,exportName,slug,vertical,category,archetype,totalBlocks,visualBlocks,hasLeadInfographic,retrofitPriority,title
"article","accounting-firm.ts","accountingFirmArticles","cpa-firm-software-cost-breakdown","accounting-firm","","A-CostBreakdown",4,0,false,"high","What a 12-Person CPA Firm Actually Spends on Software Every Month"
"article","accounting-firm.ts","accountingFirmArticles","karbon-vs-canopy-practice-management","accounting-firm","","D-IntegrationStack",3,0,false,"high","Karbon vs. Canopy: Which Practice Management Platform Wins for CPA Firms?"
"article","accounting-firm.ts","accountingFirmArticles","drake-tax-vs-lacerte-cpa-firms","accounting-firm","","B-ToolComparison",3,0,false,"high","Drake Tax vs. Lacerte: Choosing Professional Tax Prep Software for Your Firm"
"article","accounting-firm.ts","accountingFirmArticles","cpa-firm-saas-sprawl-patterns","accounting-firm","","C-SprawlDiagnostic",13,0,false,"high","5 SaaS Sprawl Patterns That Drain CPA Firms Every Month"
"article","accounting-firm.ts","accountingFirmArticles","cpa-firm-integration-stack-deep-dive","accounting-firm","","D-IntegrationStack",11,0,false,"high","How to Wire Your CPA Firm's Software Stack So It Actually Talks to Itself"
"article","appliance-repair.ts","applianceRepairArticles","cost-breakdown-appliance-repair-company","appliance-repair","","A-CostBreakdown",3,0,false,"high","What an 8-Person Appliance Repair Company Actually Spends on Software Every Month"
"article","appliance-repair.ts","applianceRepairArticles","repairshopr-vs-service-fusion-vs-jobber","appliance-repair","","B-ToolComparison",3,0,false,"high","RepairShopr vs. Service Fusion vs. Jobber: Which Field Service Platform Fits an 8-Person Appliance Repair Crew?"
"article","appliance-repair.ts","applianceRepairArticles","ringcentral-vs-callrail-appliance-repair","appliance-repair","","D-IntegrationStack",3,0,false,"high","RingCentral vs. CallRail: What Actually Drives More Booked Calls for Appliance Repair?"
"article","appliance-repair.ts","applianceRepairArticles","5-signs-saas-sprawl-appliance-repair","appliance-repair","","C-SprawlDiagnostic",12,0,false,"high","5 Signs Your Appliance Repair Shop Has SaaS Sprawl"
"article","appliance-repair.ts","applianceRepairArticles","integration-stack-deep-dive-appliance-repair","appliance-repair","","D-IntegrationStack",12,0,false,"high","The Integration Stack Deep-Dive: How an Appliance Repair Company's Software Actually Talks to Each Other"
"article","architecture-firm.ts","architectureFirmArticles","what-should-a-architecture-firm-actually-pay-for-software","architecture-firm","","A-CostBreakdown",13,0,false,"high","What Should a 20-Person Architecture firm Actually Pay for Software?"
"article","architecture-firm.ts","architectureFirmArticles","deltek-vantagepoint-vs-bqe-core-which-fits-your-architecture-firm","architecture-firm","","B-ToolComparison",7,0,false,"high","Deltek Vantagepoint vs. BQE Core: Which One Actually Fits Your Architecture firm?"
"article","architecture-firm.ts","architectureFirmArticles","autodesk-revit-vs-archicad-which-fits-your-architecture-firm","architecture-firm","","B-ToolComparison",7,0,false,"high","Autodesk Revit (AEC Collection) vs. Graphisoft ArchiCAD: Which One Actually Fits Your Architecture firm?"
"article","architecture-firm.ts","architectureFirmArticles","signs-your-architecture-firm-has-saas-sprawl","architecture-firm","","C-SprawlDiagnostic",3,0,false,"high","Signs Your Architecture firm Has SaaS Sprawl (And What It's Costing You)"
"article","architecture-firm.ts","architectureFirmArticles","integration-stack-for-architecture-firm","architecture-firm","","D-IntegrationStack",3,0,false,"high","Software Integration Guide for Architecture firm"
"article","auto-body-shop.ts","autoBodyShopArticles","what-should-a-auto-body-shop-actually-pay-for-software","auto-body-shop","","A-CostBreakdown",13,0,false,"high","What Should a 15-Person Auto body shop Actually Pay for Software?"
"article","auto-body-shop.ts","autoBodyShopArticles","ccc-one-vs-mitchell-cloud-estimating-which-fits-your-auto-body-shop","auto-body-shop","","B-ToolComparison",7,0,false,"high","CCC ONE vs. Mitchell Cloud Estimating: Which One Actually Fits Your Auto body shop?"
"article","auto-body-shop.ts","autoBodyShopArticles","ccc-one-vs-mitchell-cloud-estimating-cost-breakdown-for-auto-body-shop","auto-body-shop","","B-ToolComparison",7,0,false,"high","CCC ONE vs. Mitchell Cloud Estimating: Cost Breakdown for a Auto body shop"
"article","auto-body-shop.ts","autoBodyShopArticles","signs-your-auto-body-shop-has-saas-sprawl","auto-body-shop","","C-SprawlDiagnostic",3,0,false,"high","Signs Your Auto body shop Has SaaS Sprawl (And What It's Costing You)"
"article","auto-body-shop.ts","autoBodyShopArticles","integration-stack-for-auto-body-shop","auto-body-shop","","D-IntegrationStack",3,0,false,"high","Software Integration Guide for Auto body shop"
"article","auto-dealership.ts","autoDealershipArticles","what-should-a-15-person-auto-dealership-actually-pay-for-software","auto-dealership","","A-CostBreakdown",13,0,false,"high","What Should a 15-Person Auto Dealership Actually Pay for Software?"
